tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
us,2026-06-07 05:03:20.878+00,2026-06-07 05:03:20.879+00,cuba.xml,262316,f,,N,-1
au,2026-06-07 19:00:04.305+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-07 19:00:34.673+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-07 19:01:39.411+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-07 19:02:11.565+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-07 19:02:16.17+00,2026-06-06 21:00:05.805+00,onu.xml,2171825,f,,N,-1
eu,2026-06-07 19:02:21.922+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-07 19:02:44.942+00,2026-06-03 22:00:00+00,uk.xml,21187312,f,,N,-1
ca,2026-06-07 19:03:01.054+00,2026-06-07 19:03:05.511+00,ca.xml,1787885,f,,N,-1
us,2026-06-07 19:03:20.269+00,2026-06-07 19:03:20.269+00,cuba.xml,262316,f,,N,-1
au,2026-06-08 05:00:01.108+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-08 05:00:39.293+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-08 05:01:52.529+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-08 05:02:33.65+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-08 05:02:37.88+00,2026-06-06 21:00:05.805+00,onu.xml,2171825,f,,N,-1
eu,2026-06-08 05:02:43.845+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-08 05:03:14.795+00,2026-06-03 22:00:00+00,uk.xml,21187312,f,,N,-1
ca,2026-06-08 05:03:34.176+00,2026-06-08 05:03:38.403+00,ca.xml,1787885,f,,N,-1
us,2026-06-08 05:03:55.975+00,2026-06-08 05:03:55.977+00,cuba.xml,262316,f,,N,-1
au,2026-06-08 19:00:03.217+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-08 19:00:42.534+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-08 19:01:54.915+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-08 19:02:33.673+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-08 19:02:37.817+00,2026-06-06 21:00:05.805+00,onu.xml,2171825,f,,N,-1
eu,2026-06-08 19:02:43.877+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-08 19:03:12.91+00,2026-06-03 22:00:00+00,uk.xml,21187312,f,,N,-1
ca,2026-06-08 19:03:34.918+00,2026-06-08 19:03:39.259+00,ca.xml,1787885,f,,N,-1
us,2026-06-08 19:04:01.093+00,2026-06-08 19:04:01.094+00,cuba.xml,262316,f,,N,-1
au,2026-06-09 05:00:07.1+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-09 05:00:33.972+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-09 05:01:34.533+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-09 05:02:22.812+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-09 05:02:26.87+00,2026-06-08 21:00:06.982+00,onu.xml,2171825,f,,N,-1
eu,2026-06-09 05:02:31.966+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-09 05:02:55.204+00,2026-06-03 22:00:00+00,uk.xml,21187312,f,,N,-1
ca,2026-06-09 05:03:10.013+00,2026-06-09 05:03:14.331+00,ca.xml,1787885,f,,N,-1
us,2026-06-09 05:03:30.062+00,2026-06-09 05:03:30.063+00,cuba.xml,262316,f,,N,-1
au,2026-06-09 19:00:09.843+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-09 19:00:39.942+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-09 19:01:39.392+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
